Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Данченко,Венедикт,Дмитрович,Чоловік,18.10.1954,Епідеміолог,село Болехів,"проспект Орловська, буд. 90, Хмільник, 15950",804 39 25,ckorbut@example.org
Кибкало,Микита,Олександрович,Чоловік,13.10.1973,Журналіст,місто Дубно,"площа Магнітогорський 2-й, буд. 307 кв. 4, Євпаторія, 81948",+380 00 809-14-99,iesypenkoheorhii@example.org
Носенко,Вадим,Петрович,Чоловік,07.10.1996,Складальник,селище Миргород,"сквер Дорбуду, буд. 8 кв. 2, Тетіїв, 64012",+380 06 053 53 17,zabaraparmen@example.net
Матвієнко,Валентин,Сергійович,Чоловік,15.10.1967,Єгер,селище Кам'янка (Черкаська область),"площа Бугаївська, буд. 2 кв. 063, Устилуг, 31060",027 675 92 01,demianhrytsenko@example.com
Титаренко,Марина,Єгорівна,Жінка,13.10.1973,Драматург,місто Бучач,"площа Хаджибейська дорога, буд. 614, Сімферополь, 34687",+380 05 711 27 81,olha47@example.com
Панчук,Тереза,Андріївна,Жінка,09.10.1991,Конструктор,хутір Красногорівка,"шосе Пересипська 8-ма, буд. 4, Вільногірськ, 80478",020 959 56 04,opanasenkoaaron@example.com
Забашта,Лесь,Петрович,Чоловік,14.10.1970,Нотаріус,місто Вишгород,"шосе Заньковецької, буд. 562, Берегове, 01891",+380 26 008-97-06,marusia90@example.org
Данько,Василь,Єгорович,Чоловік,17.10.1959,Державний службовець,село Ворожба,"вулиця Кондренка, буд. 7, Покровськ, 09882",048 503 42 65,danylochaban@example.net
Дзиндра,Орхип,Володимирович,Чоловік,18.10.1953,Кіноактор,селище Татарбунари,"вулиця Мазепи Івана, буд. 99 кв. 244, Апостолове, 78573",+380 07 424-72-72,gusyk@example.com
Гавриленко,Омелян,Андрійович,Чоловік,10.10.1986,Астрофізик,селище Соледар,"набережна Кавказька, буд. 41, Южне, 27802",285-30-62,qkozachenko@example.com
Овчаренко,Семен,Михайлович,Чоловік,07.10.1997,Бухгалтер,село Самбір,"набережна Уральський, буд. 3 кв. 23, Таврійськ, 05890",+380 15 918-74-31,prokhir31@example.net
Щорс,Соломон,Михайлович,Чоловік,09.10.1991,Штукатур,місто Барвінкове,"площа Латвійський узвіз, буд. 85 кв. 8, Свалява, 99410",+380 15 338-27-74,hanna32@example.org
Бакуменко,Вікторія,Андріївна,Жінка,09.10.1991,Редактор,село Здолбунів,"проспект Маріїнська, буд. 74 кв. 9, Бровари, 96470",336-55-65,anton63@example.net
Засенко,Панас,Миколайович,Чоловік,09.10.1991,Краєзнавець,село Кремінна,"парк Каховський, буд. 3 кв. 4, Кілія, 23392",010 91 52,tychynasviatoslava@example.org
Бгиденко,Христина,Миколаївна,Жінка,12.10.1976,Няня,село Бурштин ,"вулиця Китобійний 1-й, буд. 7 кв. 1, Жовква, 94032",+380 18 125 61 81,utsushko@example.com
Лагода,Мартин,Андрійович,Чоловік,07.10.1997,Сантехнік,селище Мирноград,"площа Басейний 1-й, буд. 3, Біляївка, 47145",+380 70 240-30-04,isaienkobohdanna@example.com
Височан,Семен,Миколайович,Чоловік,15.10.1965,Програміст,село Герца,"узвіз Велика Арнаутська, буд. 027 кв. 77, Устилуг, 61328",+380 19 168-90-99,poltavetsroman@example.net
Гоголь,Христина,Андріївна,Жінка,08.10.1995,Різноробочий,селище Берегове,"площа Рачкова, буд. 54, Батурин, 23425",089 682-92-01,mykhailyna67@example.net
Редько,Болеслав,Сергійович,Чоловік,08.10.1992,Геофізик,місто Новодністровськ,"провулок Князівський, буд. 789, Камінь-Каширський, 59795",376 11 78,mykhaliuksolomon@example.org
Смик,Максим,Миколайович,Чоловік,13.10.1974,Живописець,хутір Новомосковськ,"парк Північна, буд. 96 кв. 01, Бровари, 46605",376 46 57,pskorobohatko@example.org
Мазур,Богданна,Михайлівна,Жінка,09.10.1988,Каскадер,місто Сокиряни,"сквер Лінія 51-ша, буд. 1, Вільнянськ, 18146",+380 56 002-53-03,amvrosiiusyk@example.net
Непорожній,Тимофій,Михайлович,Чоловік,10.10.1986,Гицель,селище Долина ,"набережна Степна, буд. 059 кв. 3, Пустомити, 44162",116 79 30,fhavrylets@example.net
Даценко,Софія,Петрівна,Жінка,08.10.1993,Гінеколог,селище Першотравенськ,"провулок Юхима Фесенка, буд. 694 кв. 278, Лебедин, 77518",+380 (14) 799-98-30,ikorsun@example.org
Алексеєнко,Соломія,Олександрівна,Жінка,07.10.1999,Патологоанатом,селище Полтава,"парк Кренкеля, буд. 5 кв. 18, Кремінна, 47200",732 13 65,opylypenko@example.org
Пʼятаченко,Ярослава,Дмитрівна,Жінка,06.10.2000,Художник,хутір Старобільськ,"парк Лазурний 3-й, буд. 483, Шепетівка, 50179",+380 99 190 23 82,anita37@example.com
Лавренко,Євген,Сергійович,Чоловік,15.10.1966,Ріелтор,село Бровари,"узвіз Амурський 3-й, буд. 9 кв. 77, Ізмаїл, 26539",005 637-73-30,lriabchenko@example.net
Дробʼязко,Софія,Михайлівна,Жінка,11.10.1981,Кінорежисер,село Корець,"сквер Селекційна, буд. 1 кв. 6, Умань, 20350",090 933 77 57,sviatoslava95@example.com
Андрієнко,Валерій,Дмитрович,Чоловік,08.10.1994,Редактор,місто Черкаси,"сквер Тимірязєва 5-й, буд. 7, Алупка, 25183",+380 (02) 291-17-16,vadym60@example.com
Давиденко,Едуард,Михайлович,Чоловік,06.10.2000,Соціолог,місто Городенка,"площа Шилова, буд. 247, Херсон, 39342",058 356-08-88,ustym89@example.org
Ященко,Орися,Іванівна,Жінка,07.10.1998,Дипломат,місто Перечин,"набережна Композитора Глинки, буд. 83, Родинське, 69394",066 782-91-83,ndubenko@example.org
Симоненко,Тетяна,Єгорівна,Жінка,13.10.1973,Підприємець,селище Долина ,"проспект Віри Фігнер, буд. 0, Шепетівка, 26095",068 588 99 35,iaroslavduplii@example.net
Бабариченко,Борис,Михайлович,Чоловік,11.10.1980,Головний меркшейдер,селище Новий Буг,"парк Новгородський, буд. 6, Гуляйполе, 71008",061 952-31-07,sheremetapylyp@example.org
Яремчук,Георгій,Сергійович,Чоловік,07.10.1999,Архітектор,село Мукачево,"парк Лінія 35-та, буд. 61 кв. 285, Корець, 28460",+380 48 888-93-00,zorian05@example.com
Колодуб,Аліна,Володимирівна,Жінка,13.10.1973,Дерун,хутір Мостиська,"проспект Тимірязєва 5-й, буд. 80, Берегове, 05293",027 502-16-64,bohuslavaudovenko@example.net
Лаба,Марина,Іванівна,Жінка,16.10.1961,Електромонтажник,місто Гуляйполе,"вулиця Каспійський, буд. 5 кв. 0, Дружківка, 49315",021 848 44 10,symonperepelytsia@example.com
Опанасенко,Володимира,Іванівна,Жінка,09.10.1991,Патологоанатом,селище Черкаси,"набережна Велика Арнаутська, буд. 3, Покров, 78324",860-40-13,odarkadashkevych@example.net
Дрозд,Устим,Іванович,Чоловік,11.10.1980,Скульптор,хутір Інкерман,"набережна Лінія 54-та, буд. 334 кв. 817, Петрово-Красносілля, 68405",872 90 94,kamillamykytiuk@example.org
Носенко,Вʼячеслав,Володимирович,Чоловік,06.10.2003,М'ясник,хутір Хоростків,"проспект Азербайджан, буд. 29 кв. 5, Географія Вільнянська, 38072",658-84-70,uhavryshkevych@example.com
Ажажа,Варвара,Дмитрівна,Жінка,18.10.1954,Режисер,село Ватутіне,"парк Пересипська 10-та, буд. 91, Коростень, 36845",+380 19 183-43-78,viktorhavryliv@example.org
Вахній,Климент,Олександрович,Чоловік,12.10.1978,Мистецтвознавець,село Сколе,"площа Вишнева, буд. 06, Вінниця, 88800",+380 49 417-92-75,slubenets@example.org
